epoch,train_loss,val_loss,train_acc,val_acc,paired_acc,unpaired_acc,learning_rate
1,5.388431877649131,4.4406567358493305,1.5546772068511199,5.268703898840885,5.5,4.871060171919771,0.0001
2,5.006801476999491,4.085742970035501,3.08300395256917,15.489989462592202,15.666666666666666,15.18624641833811,9.98458666866564e-05
3,4.604215119065357,3.8247696160013986,6.772068511198946,19.28345626975764,18.0,21.48997134670487,9.938441702975689e-05
4,4.24353935337868,3.5766298931692626,10.69828722002635,25.816649104320337,28.0,22.063037249283667,9.861849601988383e-05
5,3.92463559863948,3.3381286046778818,15.019762845849803,28.977871443624867,31.5,24.64183381088825,9.755282581475767e-05
6,3.691496851063576,3.154786916879507,19.552042160737813,32.66596417281349,35.333333333333336,28.08022922636103,9.619397662556432e-05
7,3.456561972113217,2.9614094263384287,25.059288537549406,38.14541622760801,40.5,34.097421203438394,9.455032620941837e-05
8,3.2299886651399756,2.847665874925378,28.932806324110672,39.304531085353005,44.166666666666664,30.945558739255013,9.26320082177046e-05
9,3.078674206212789,2.7297085891659316,32.015810276679844,40.56902002107481,45.5,32.09169054441261,9.045084971874737e-05
10,2.9091061924685953,2.6391100524223012,36.179183135704875,44.88935721812434,49.666666666666664,36.67621776504298,8.802029828000154e-05
11,2.7895529330277644,2.5914932282129253,39.52569169960474,45.10010537407798,49.333333333333336,37.82234957020057,8.535533905932737e-05
12,2.6833979943219353,2.507764282919961,42.108036890645586,48.15595363540569,52.333333333333336,40.97421203438395,8.247240241650918e-05
13,2.5330302755371865,2.445436951985977,46.1133069828722,48.26132771338251,51.666666666666664,42.40687679083094,7.938926261462365e-05
14,2.4281539356007293,2.3902982168127287,49.35441370223979,50.5795574288725,53.833333333333336,44.98567335243553,7.612492823579742e-05
15,2.327738707806884,2.3172998453467866,52.4901185770751,53.42465753424658,58.333333333333336,44.98567335243553,7.269952498697731e-05
16,2.254936289386589,2.2896392667004632,54.59815546772069,53.63540569020021,57.833333333333336,46.41833810888252,6.913417161825447e-05
17,2.183028683942907,2.2398295000556647,56.89064558629776,55.53213909378293,59.666666666666664,48.42406876790831,6.545084971874736e-05
18,2.1486964255821803,2.199987750410154,57.02239789196311,57.7449947312961,61.833333333333336,50.7163323782235,6.167226819279526e-05
19,2.0056338069819604,2.2023177270014997,62.661396574440055,56.90200210748156,59.833333333333336,51.862464183381086,5.7821723252011525e-05
20,1.9882400827247555,2.192050373843146,63.13570487483531,56.58587987355111,60.333333333333336,50.1432664756447,5.392295478639223e-05
21,1.8978224451802357,2.1447712231988776,65.37549407114625,59.00948366701791,61.0,55.587392550143264,4.999999999999998e-05
22,1.8988146721815862,2.1432984802318447,65.27009222661397,60.06322444678609,62.666666666666664,55.587392550143264,4.607704521360774e-05
23,1.826735553621244,2.1487137158376775,68.24769433465086,58.79873551106428,62.333333333333336,52.722063037249285,4.217827674798845e-05
24,1.8103262757052894,2.1227525597000523,68.300395256917,60.90621707060063,64.16666666666667,55.30085959885387,3.832773180720472e-05
25,1.7811953320222742,2.1181642501698406,68.98550724637681,60.90621707060063,63.833333333333336,55.873925501432666,3.4549150281252616e-05
26,1.7592394111537133,2.1125555319831295,70.19762845849803,60.06322444678609,61.5,57.59312320916906,3.08658283817455e-05
27,1.7530868524262886,2.101278669841674,71.06719367588933,61.64383561643836,63.666666666666664,58.16618911174785,2.730047501302265e-05
28,1.7009030099676437,2.1143036622267504,71.83135704874836,61.53846153846154,62.5,59.88538681948424,2.387507176420255e-05
29,1.6727339490121151,2.0928950347438127,73.3596837944664,62.06533192834563,62.833333333333336,60.74498567335244,2.061073738537634e-05
30,1.6703002623149328,2.0847714831630597,74.83530961791831,60.90621707060063,63.5,56.44699140401146,1.7527597583490816e-05
31,1.6396914480113183,2.0905847946384055,74.91436100131752,62.4868282402529,64.66666666666667,58.739255014326645,1.464466094067262e-05
32,1.6347693575530493,2.091986752410583,74.36100131752306,63.119072708113805,64.16666666666667,61.31805157593123,1.1979701719998447e-05
33,1.6531554831176245,2.0758319586923677,74.78260869565217,63.329820864067436,64.83333333333333,60.74498567335244,9.549150281252628e-06
34,1.622559730746165,2.0576711293894827,75.96837944664031,63.64594309799789,64.5,62.17765042979943,7.367991782295387e-06
35,1.6302600367730404,2.081850373204817,74.88801054018445,62.38145416227608,63.5,60.458452722063036,5.449673790581608e-06
36,1.6311122319277596,2.0754703769442657,74.88801054018445,62.90832455216017,63.5,61.891117478510026,3.806023374435661e-06
37,1.6058797525758504,2.073878410618725,76.10013175230567,61.95995785036881,63.833333333333336,58.739255014326645,2.447174185242322e-06
38,1.619537922514587,2.073240925564781,75.46772068511198,62.697576396206536,63.5,61.31805157593123,1.3815039801161715e-06
